Datum,Wochentag,DatumNEU,KW,Schicht,Zeit von,Zeit bis,Dauer Arbeits-zeit,Anzahl MA,Menge N.i. O.,Profi,AHV,Menge Gesamt (Stück),Dauer Org-Mangel,Dauer Anlagen-Ausfall,Störung aufgrund Vormaterial,Dauer Anlagen-Ausfall intern,Dauer Logistik- Defizite,Station/ OP,Unterbrechungsursache,Bemerkung,Fehlercode,Station/ OP_raw,Station/ OP_1,Station/ OP_2,Station/ OP_3,Station/ OP_4,Station/ OP_5,Bemerkung_norm,Bemerkung_std,Unterbrechungsursache_norm,Unterbrechungsursache_std
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,07:00:00,08:00:00,59.99999999999995,2.0,,2.0,,2.0,,,,15.0,,,Freitext,Gestelle anmelden,,,,,,,,gestelle anmelden,gestelle anmelden,freitext,freitext
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,07:00:00,08:00:00,59.99999999999995,2.0,,2.0,,2.0,,,,20.0,,,Wartungsplan,,,,,,,,,,,wartungsplan,wartungsplan
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,07:00:00,08:00:00,59.99999999999995,2.0,,2.0,,2.0,,5.0,,,,R 03,Freitext,"Programmfehler, Greifer defekt, räumen",,R 03,R 03,,,,,"programmfehler, greifer defekt, räumen","programmfehler, greifer defekt, räumen",freitext,freitext
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,08:00:00,09:00:00,60.00000000000003,2.0,,2.0,,2.0,,60.0,,,,R 03,Freitext,"Programmfehler, Greifer defekt, räumen",,R 03,R 03,,,,,"programmfehler, greifer defekt, räumen","programmfehler, greifer defekt, räumen",freitext,freitext
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,09:15:00,10:00:00,45.0,2.0,,2.0,,2.0,,45.0,,,,R 03,Freitext,"Programmfehler, Greifer defekt, räumen",,R 03,R 03,,,,,"programmfehler, greifer defekt, räumen","programmfehler, greifer defekt, räumen",freitext,freitext
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,10:00:00,11:00:00,59.99999999999995,2.0,,1.0,,1.0,,15.0,,,,R 03,Freitext,"Programmfehler, Greifer defekt, räumen",,R 03,R 03,,,,,"programmfehler, greifer defekt, räumen","programmfehler, greifer defekt, räumen",freitext,freitext
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,10:00:00,11:00:00,59.99999999999995,2.0,,1.0,,1.0,,30.0,,,,R 06,Zündfehler,"Drahtseele durchblasen, Draht neu verlegen",,R 06,R 06,,,,,"drahtseele durchblasen, draht neu verlegen","drahtseele durchblasen, draht neu verlegen",zündfehler,zündfehler
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,11:00:00,12:00:00,60.00000000000003,2.0,1.0,2.0,,3.0,,5.0,,,,R 07,Zündfehler,,,R 07,R 07,,,,,,,zündfehler,zündfehler
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,11:00:00,12:00:00,60.00000000000003,2.0,1.0,2.0,,3.0,,10.0,,,,R 02,Freitext,"Deckblech fallen gelassen, Schanierhalter schief",,R 02,R 02,,,,,"deckblech fallen gelassen, schanierhalter schief","deckblech fallen gelassen, schanierhalter schief",freitext,freitext
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,13:30:00,14:00:00,30.000000000000053,3.0,,7.0,,7.0,,,,,,R 07,Gasdüse getauscht,,,R 07,R 07,,,,,,,gasdüse getauscht,gasdüse getauscht
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,14:00:00,15:00:00,59.99999999999995,3.0,1.0,4.0,,5.0,,10.0,,,,R 02,Freitext,"Deckblech fallen gelassen, Schanierhalter schief",,R 02,R 02,,,,,"deckblech fallen gelassen, schanierhalter schief","deckblech fallen gelassen, schanierhalter schief",freitext,freitext
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,14:00:00,15:00:00,59.99999999999995,3.0,1.0,4.0,,5.0,,5.0,,,,R 09,Gasdüse getauscht,,,R 09,R 09,,,,,,,gasdüse getauscht,gasdüse getauscht
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,14:00:00,15:00:00,59.99999999999995,3.0,1.0,4.0,,5.0,,12.0,,,,R 01,Freitext,Fehler Suchfahrt aus Box 1.4,,R 01,R 01,,,,,fehler suchfahrt aus box 1.4,fehler suchfahrt aus box 1.4,freitext,freitext
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,15:00:00,15:45:00,45.0,3.0,,3.0,,3.0,,5.0,,,,R 09,Freitext,Steckt in der Brennerreinigung fest,,R 09,R 09,,,,,steckt in der brennerreinigung fest,steckt in der brennerreinigung fest.,freitext,freitext
2023-01-05,4.0,2023-01-05 00:00:00,2023/01,t,15:00:00,15:45:00,45.0,3.0,,3.0,,3.0,,,,15.0,,,Reinigung,,,,,,,,,,,reinigung,reinigung
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,07:00:00,08:00:00,59.99999999999995,2.0,,3.0,,3.0,,,,20.0,,,Wartungsplan,,,,,,,,,,,wartungsplan,wartungsplan
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,08:00:00,09:00:00,60.00000000000003,2.0,,2.0,,2.0,,5.0,,,,R 09,Freitext,Bleibt in der Brennerreinigung stecken,,R 09,R 09,,,,,bleibt in der brennerreinigung stecken,bleibt in der brennerreinigung stecken.,freitext,freitext
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,09:15:00,10:00:00,45.0,2.0,,4.0,,4.0,,5.0,,,,R 07,Gasdüse getauscht,,,R 07,R 07,,,,,,,gasdüse getauscht,gasdüse getauscht
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,12:00:00,13:00:00,59.99999999999995,2.0,,0.0,,0.0,10,,,,,,Freitext,"Anlage voll, keine HR Gestelle, Gestelle umpacken und umbuchen",,,,,,,,"anlage voll, keine hr gestelle, gestelle umpacken und umbuchen","anlage voll, keine hr gestelle, gestelle umpacken und umbuchen",freitext,freitext
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,13:30:00,14:00:00,30.000000000000053,4.0,,6.0,,6.0,30,,,,,,Freitext,"Anlage voll, keine HR Gestelle, Gestelle umpacken und umbuchen",,,,,,,,"anlage voll, keine hr gestelle, gestelle umpacken und umbuchen","anlage voll, keine hr gestelle, gestelle umpacken und umbuchen",freitext,freitext
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,14:00:00,15:00:00,59.99999999999995,4.0,,4.0,,4.0,,10.0,,,,R 01,Freitext,Suchfahrtfehler,,R 01,R 01,,,,,suchfahrtfehler,suchfahrtfehler,freitext,freitext
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,14:00:00,15:00:00,59.99999999999995,4.0,,4.0,,4.0,,5.0,,,,R 04,Zündfehler,,,R 04,R 04,,,,,,,zündfehler,zündfehler
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,14:00:00,15:00:00,59.99999999999995,4.0,,4.0,,4.0,,5.0,,,,R 09,Freitext,Bleibt in der Brennerreinigung stecken,,R 09,R 09,,,,,bleibt in der brennerreinigung stecken,bleibt in der brennerreinigung stecken.,freitext,freitext
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,14:00:00,15:00:00,59.99999999999995,4.0,,4.0,,4.0,,5.0,,,,R 06,Zündfehler,,,R 06,R 06,,,,,,,zündfehler,zündfehler
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,15:00:00,15:45:00,45.0,4.0,1.0,2.0,,3.0,,10.0,,,,R 01,Freitext,Suchfahrtfehler,,R 01,R 01,,,,,suchfahrtfehler,suchfahrtfehler,freitext,freitext
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,15:00:00,15:45:00,45.0,4.0,1.0,2.0,,3.0,,5.0,,,,R 06,Zündfehler,,,R 06,R 06,,,,,,,zündfehler,zündfehler
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,15:00:00,15:45:00,45.0,4.0,1.0,2.0,,3.0,,,,,,OP 100 L,Räumen,,,OP 100 L,OP 100 L,,,,,,,räumen,räumen
2023-01-06,5.0,2023-01-06 00:00:00,2023/01,t,15:00:00,15:45:00,45.0,4.0,1.0,2.0,,3.0,,,,15.0,,,Reinigung,,,,,,,,,,,reinigung,reinigung
2023-01-08,7.0,2023-01-08 00:00:00,2023/01,n,21:00:00,22:00:00,59.99999999999995,4.0,,5.0,,5.0,,,,20.0,,,Wartungsplan,2 Schweißer !,,,,,,,,2 schweißer !,2 schweißer !,wartungsplan,wartungsplan
2023-01-08,7.0,2023-01-08 00:00:00,2023/01,n,21:00:00,22:00:00,59.99999999999995,4.0,,5.0,,5.0,,5.0,,,,R 01,Freitext,Suchfahrtfehler,,R 01,R 01,,,,,suchfahrtfehler,suchfahrtfehler,freitext,freitext
2023-01-08,7.0,2023-01-08 00:00:00,2023/01,n,22:00:00,23:00:00,60.00000000000011,4.0,1.0,4.0,,5.0,,10.0,,,,OP 100 L,Räumen,,,OP 100 L,OP 100 L,,,,,,,räumen,räumen
2023-01-08,7.0,2023-01-08 00:00:00,2023/01,n,00:00:00,01:00:00,59.999999999999986,4.0,,8.0,,8.0,35,,,,,,Freitext,Keine HR Gestelle; Gestelle umpacken und umbuchen,,,,,,,,keine hr gestelle; gestelle umpacken und umbuchen,keine hr gestelle; gestelle umpacken und umbuchen,freitext,freitext
2023-01-08,7.0,2023-01-08 00:00:00,2023/01,n,01:30:00,02:00:00,29.999999999999993,4.0,1.0,2.0,,3.0,,5.0,,,,R 07,Gasdüse getauscht,,,R 07,R 07,,,,,,,gasdüse getauscht,gasdüse getauscht
2023-01-08,7.0,2023-01-08 00:00:00,2023/01,n,01:30:00,02:00:00,29.999999999999993,4.0,1.0,2.0,,3.0,,5.0,,,,R 08,Gasdüse getauscht,,,R 08,R 08,,,,,,,gasdüse getauscht,gasdüse getauscht
2023-01-08,7.0,2023-01-08 00:00:00,2023/01,n,01:30:00,02:00:00,29.999999999999993,4.0,1.0,2.0,,3.0,,5.0,,,,R 09,Brenner gereinigt,,,R 09,R 09,,,,,,,brenner gereinigt,brenner gereinigt
2023-01-08,7.0,2023-01-08 00:00:00,2023/01,n,02:00:00,03:00:00,60.0,4.0,1.0,4.0,,5.0,,27.0,,,,R 09,Freitext,"Brennerreinigung defekt, Rob Tech informiert",,R 09,R 09,,,,,"brennerreinigung defekt, rob tech informiert","brennerreinigung defekt, rob tech informiert",freitext,freitext
2023-01-08,7.0,2023-01-08 00:00:00,2023/01,n,03:00:00,04:00:00,60.00000000000007,4.0,,0.0,,0.0,,60.0,,,,R 09,Freitext,"Brennerreinigung defekt, Rob Tech informiert",,R 09,R 09,,,,,"brennerreinigung defekt, rob tech informiert","brennerreinigung defekt, rob tech informiert",freitext,freitext
2023-01-08,7.0,2023-01-08 00:00:00,2023/01,n,04:00:00,05:00:00,59.999999999999865,4.0,1.0,5.0,,6.0,,,,15.0,,,Reinigung,,,,,,,,,,,reinigung,reinigung
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,05:00:00,06:00:00,60.00000000000007,4.0,,,,0.0,,,,23.0,,,Wartungsplan,,,,,,,,,,,wartungsplan,wartungsplan
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,05:00:00,06:00:00,60.00000000000007,4.0,,,,0.0,,,,,15.0,,Freitext,DB 2.2  falsch gepackt soll 2764 ist 2900,,,,,,,,db 2.2 falsch gepackt soll 2764 ist 2900,db 2.2 falsch gepackt soll 2900 ist 2764,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,05:00:00,06:00:00,60.00000000000007,4.0,,,,0.0,,,,,15.0,,Freitext,DB 2.2 falsch gepackt soll 2764 ist 2750,,,,,,,,db 2.2 falsch gepackt soll 2764 ist 2750,db 2.2 falsch gepackt soll 2764 ist 2750,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,06:00:00,07:00:00,60.00000000000003,4.0,,9.0,,9.0,15,,,,,,Freitext,2 Ma HR Gestelle umpacken /umbuchen,,,,,,,,2 ma hr gestelle umpacken /umbuchen,2 ma hr gestelle umpacken /umbuchen,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,06:00:00,07:00:00,60.00000000000003,4.0,,9.0,,9.0,,8.0,,,,R 09,Gasdüse und Kontaktrohr getauscht,,,R 09,R 09,,,,,,,gasdüse und kontaktrohr getauscht,gasdüse und kontaktrohr getauscht
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,06:00:00,07:00:00,60.00000000000003,4.0,,9.0,,9.0,,8.0,,,,R 07,Gasdüse und Kontaktrohr getauscht,,,R07/R08,R 07,R 08,,,,,,gasdüse und kontaktrohr getauscht,gasdüse und kontaktrohr getauscht
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,07:00:00,08:00:00,59.99999999999995,4.0,2.0,3.0,,5.0,,,,,15.0,,Freitext,DB 2.2 falsch gepackt soll 2900 ist 2764,,,,,,,,db 2.2 falsch gepackt soll 2900 ist 2764,db 2.2 falsch gepackt soll 2900 ist 2764,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,07:00:00,08:00:00,59.99999999999995,4.0,2.0,3.0,,5.0,,5.0,,,,R 08,Zündfehler,,,R 08,R 08,,,,,,,zündfehler,zündfehler
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,07:00:00,08:00:00,59.99999999999995,4.0,2.0,3.0,,5.0,,15.0,,,,OP 100 L,Räumen,R02 hat DB fallengelassen,,OP 100 L,OP 100 L,,,,,r02 hat db fallengelassen,r02 hat db fallengelassen,räumen,räumen
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,07:00:00,08:00:00,59.99999999999995,4.0,2.0,3.0,,5.0,,8.0,,,,R 06,Störung,Rob Tech informiert,,R 06,R 06,,,,,rob tech informiert,rob tech informiert,störung,störung
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,08:00:00,09:00:00,60.00000000000003,3.0,,7.0,,7.0,,,,,15.0,,Freitext,DB 2.2 falsch gepackt soll 2900 ist 2764,,,,,,,,db 2.2 falsch gepackt soll 2900 ist 2764,db 2.2 falsch gepackt soll 2900 ist 2764,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,08:00:00,09:00:00,60.00000000000003,3.0,,7.0,,7.0,,8.0,,,,R 06,Störung,Rob Tech informiert,,R 06,R 06,,,,,rob tech informiert,rob tech informiert,störung,störung
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,08:00:00,09:00:00,60.00000000000003,3.0,,7.0,,7.0,,5.0,,,,R 08,Zündfehler,,,R 08,R 08,,,,,,,zündfehler,zündfehler
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,08:00:00,09:00:00,60.00000000000003,3.0,,7.0,,7.0,,8.0,,,,OP 25 S,Störung,per hand sägen lassen,,OP 25 S,OP 25 S,,,,,per hand sägen lassen,per hand sägen lassen,störung,störung
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,09:30:00,10:00:00,30.000000000000053,3.0,,,,0.0,,8.0,,,,R 06,Freitext,Suchfahrt,,R 06,R 06,,,,,suchfahrt,suchfahrt,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,09:30:00,10:00:00,30.000000000000053,3.0,,,,0.0,15,,,,,,Freitext,2 Ma HR Gestelle umpacken /umbuchen,,,,,,,,2 ma hr gestelle umpacken /umbuchen,2 ma hr gestelle umpacken /umbuchen,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,10:00:00,11:00:00,59.99999999999995,3.0,,6.0,4.0,10.0,,8.0,,,,R 06,Freitext,Suchfahrt,,R 06,R 06,,,,,suchfahrt,suchfahrt,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,10:00:00,11:00:00,59.99999999999995,3.0,,6.0,4.0,10.0,,5.0,,,,OP 100 L,Verstärkungsprofil,,,OP 100 L,OP 100 L,,,,,,,verstärkungsprofil,verstärkungsprofil
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,11:00:00,12:00:00,60.00000000000003,3.0,1.0,6.0,,7.0,,8.0,,,,R 06,Gasdüse und Kontaktrohr getauscht,,,R 06,R 06,,,,,,,gasdüse und kontaktrohr getauscht,gasdüse und kontaktrohr getauscht
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,11:00:00,12:00:00,60.00000000000003,3.0,1.0,6.0,,7.0,,15.0,,,,R 09,Freitext,steckt in Brennerreinigung fest Rob tech informiert,,R 09,R 09,,,,,steckt in brennerreinigung fest rob tech informiert,steckt in brennerreinigung fest rob tech informiert,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,11:00:00,12:00:00,60.00000000000003,3.0,1.0,6.0,,7.0,,,,,10.0,OP 10 Q,Freitext,Fach 1.1 angleichen,,OP 10 Q,OP 10 Q,,,,,fach 1.1 angleichen,fach 1.1 angleichen,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,12:00:00,13:00:00,59.99999999999995,3.0,,6.0,2.0,8.0,,5.0,,,,R 06,Zündfehler,,,R 06,R 06,,,,,,,zündfehler,zündfehler
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,f,12:00:00,13:00:00,59.99999999999995,3.0,,6.0,2.0,8.0,,,,15.0,,,Reinigung,,,,,,,,,,,reinigung,reinigung
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,13:00:00,14:00:00,60.00000000000011,3.0,,6.0,,6.0,,,,25.0,,,Wartungsplan,,,,,,,,,,,wartungsplan,wartungsplan
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,13:00:00,14:00:00,60.00000000000011,3.0,,6.0,,6.0,,,,,,,Freitext,"Ab 13:30 nur noch 2 Schweißer, 1 Schweißer an die Türanlage.",,,,,,,,"ab 13:30 nur noch 2 schweißer, 1 schweißer an die türanlage.","ab 13:30 nur noch 2 schweißer, 1 schweißer an die türanlage.",freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,13:00:00,14:00:00,60.00000000000011,3.0,,6.0,,6.0,,5.0,,,,R 02,Kollision,"Kollision in OP 150.1, Zinken vom Gestell verbogen.",,R 02,R 02,,,,,"kollision in op 150.1, zinken vom gestell verbogen.","kollision in op 150.1, zinken vom gestell verbogen.",kollision,kollision
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,13:00:00,14:00:00,60.00000000000011,3.0,,6.0,,6.0,,3.0,,,,OP 100 L,Bauteil nicht gespannt,,,OP 100 L,OP 100 L,,,,,,,bauteil nicht gespannt,bauteil nicht gespannt
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,14:00:00,15:00:00,59.99999999999995,3.0,,2.0,,2.0,,,,12.0,,OP 130,Freitext,Nur 2 Schweißer,,OP 130,OP 130,,,,,nur 2 schweißer,nur 2 schweißer,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,14:00:00,15:00:00,59.99999999999995,3.0,,2.0,,2.0,,20.0,,,,OP 100 L,Freitext,Hydraulikschlauch geplatzt.,,OP 100 L,OP 100 L,,,,,hydraulikschlauch geplatzt.,hydraulikschlauch geplatzt.,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,15:00:00,16:00:00,59.99999999999995,3.0,,6.0,,6.0,,40.0,,,,OP 100 L,Freitext,Hydraulikschlauch geplatzt.,,OP 100 L,OP 100 L,,,,,hydraulikschlauch geplatzt.,hydraulikschlauch geplatzt.,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,16:00:00,17:00:00,60.00000000000011,3.0,,4.0,,4.0,,20.0,,,,R 09,Schweißdraht tauschen,,,R 09,R 09,,,,,,,schweißdraht tauschen,schweißdraht tauschen
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,16:00:00,17:00:00,60.00000000000011,3.0,,4.0,,4.0,,,,12.0,,OP 130,Freitext,Nur 2 Schweißer,,OP 130,OP 130,,,,,nur 2 schweißer,nur 2 schweißer,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,17:30:00,18:00:00,30.000000000000053,3.0,,4.0,,4.0,,,,12.0,,OP 130,Freitext,Nur 2 Schweißer,,OP 130,OP 130,,,,,nur 2 schweißer,nur 2 schweißer,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,17:30:00,18:00:00,30.000000000000053,3.0,,4.0,,4.0,,,,7.0,,R 07,Gasdüse und Kontaktrohr getauscht,,,"R 07, R 08",R 07,R 08,,,,,,gasdüse und kontaktrohr getauscht,gasdüse und kontaktrohr getauscht
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,18:00:00,19:00:00,59.99999999999995,3.0,,10.0,,10.0,,,,,20.0,OP 60,Warten auf Material,"Deckblech fehlt, Kommissionierer informiert.",,OP 60,OP 60,,,,,"deckblech fehlt, kommissionierer informiert.","deckblech fehlt, kommissionierer informiert.",warten auf material,warten auf material
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,18:00:00,19:00:00,59.99999999999995,3.0,,10.0,,10.0,,,,12.0,,OP 130,Freitext,Nuer 2 Schweißer,,OP 130,OP 130,,,,,nuer 2 schweißer,nuer 2 schweißer,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,19:00:00,20:00:00,60.00000000000011,3.0,,10.0,,10.0,,3.0,,,,OP 100 L,Freitext,Knickgelenk hat sich nicht automatisch gelöst.,,OP 100 L,OP 100 L,,,,,knickgelenk hat sich nicht automatisch gelöst.,knickgelenk hat sich nicht automatisch gelöst.,freitext,freitext
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,s,20:00:00,21:00:00,59.99999999999995,3.0,,,,0.0,,,,,30.0,OP 60,Warten auf Material,"2.4 falsche Deckbleche gepackt, Kommissionierer informiert.",,OP 60,OP 60,,,,,"2.4 falsche deckbleche gepackt, kommissionierer informiert.","2.4 falsche deckbleche gepackt, kommissionierer informiert.",warten auf material,warten auf material
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,n,21:00:00,22:00:00,59.99999999999995,3.0,3.0,6.0,,9.0,,,,,60.0,,Warten auf Material,"2.4 falsche Deckbleche gepackt, Kommissionierer informiert. Von der Spätschicht Heckrungen räumen. Auftragspuffer leer. Wartungsplan",,,,,,,,"2.4 falsche deckbleche gepackt, kommissionierer informiert. von der spätschicht heckrungen räumen. auftragspuffer leer. wartungsplan","2.4 falsche deckbleche gepackt, kommissionierer informiert. von der spätschicht heckrungen räumen. auftragspuffer leer. wartungsplan",warten auf material,warten auf material
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,n,22:00:00,23:00:00,60.00000000000011,3.0,,4.0,,4.0,,,,,60.0,,Warten auf Material,"Anlage leer, warten auf Deckbleche",,,,,,,,"anlage leer, warten auf deckbleche","anlage leer, warten auf deckbleche",warten auf material,warten auf material
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,n,23:00:00,1900-01-01 00:00:00,59.99999999999995,3.0,1.0,0.0,,1.0,,,,,36.0,,Warten auf Material,"Anlage leer, warten auf Deckbleche, Anlage vollfahren",,,,,,,,"anlage leer, warten auf deckbleche, anlage vollfahren","anlage leer, warten auf deckbleche, anlage vollfahren",warten auf material,warten auf material
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,n,23:00:00,1900-01-01 00:00:00,59.99999999999995,3.0,1.0,0.0,,1.0,,5.0,,,,R 06,Zündfehler,,,R 06,R 06,,,,,,,zündfehler,zündfehler
2023-01-09,1.0,2023-01-09 00:00:00,2023/02,n,23:00:00,1900-01-01 00:00:00,59.99999999999995,3.0,1.0,0.0,,1.0,,10.0,,,,OP 40 L,Räumen,,,OP 40 L,OP 40 L,,,,,,,räumen,räumen
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,n,00:00:00,01:00:00,59.999999999999986,3.0,,3.0,,3.0,,5.0,,,,R 07,Gasdüse getauscht,,,R 07,R 07,,,,,,,gasdüse getauscht,gasdüse getauscht
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,n,01:30:00,02:00:00,29.999999999999993,3.0,,4.0,,4.0,,5.0,,,,R 06,Zündfehler,,,R 06,R 06,,,,,,,zündfehler,zündfehler
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,n,02:00:00,03:00:00,60.0,3.0,,6.0,,6.0,,8.0,,,,R 01,Parallelgreifer ,,,R 01,R 01,,,,,,,parallelgreifer,parallelgreifer
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,n,03:00:00,04:00:00,60.00000000000007,3.0,1.0,5.0,,6.0,,8.0,,,,R 01,Parallelgreifer ,,,R 01,R 01,,,,,,,parallelgreifer,parallelgreifer
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,n,03:00:00,04:00:00,60.00000000000007,3.0,1.0,5.0,,6.0,,4.0,,,,R 04,Zündfehler,,,R 04,R 04,,,,,,,zündfehler,zündfehler
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,n,03:00:00,04:00:00,60.00000000000007,3.0,1.0,5.0,,6.0,,10.0,,,,OP 40 L,Räumen,,,OP 40 L,OP 40 L,,,,,,,räumen,räumen
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,n,04:00:00,05:00:00,59.999999999999865,3.0,,3.0,,3.0,,5.0,,,,R 06,Zündfehler,,,R 06,R 06,,,,,,,zündfehler,zündfehler
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,n,04:00:00,05:00:00,59.999999999999865,3.0,,3.0,,3.0,,5.0,,,,R 07,Zündfehler,,,R 07,R 07,,,,,,,zündfehler,zündfehler
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,n,04:00:00,05:00:00,59.999999999999865,3.0,,3.0,,3.0,,,,15.0,,,Reinigung,,,,,,,,,,,reinigung,reinigung
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,f,05:00:00,06:00:00,60.00000000000007,5.0,,4.0,3.0,7.0,,,,23.0,,,Wartungsplan,,,,,,,,,,,wartungsplan,wartungsplan
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,f,05:00:00,06:00:00,60.00000000000007,5.0,,4.0,3.0,7.0,,10.0,,,,R 05,Freitext,Scharnierlager nicht auf Position,,R 05,R 05,,,,,scharnierlager nicht auf position,scharnierlager nicht auf position,freitext,freitext
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,f,05:00:00,06:00:00,60.00000000000007,5.0,,4.0,3.0,7.0,,5.0,,,,R 02,Parallelgreifer ,,,R 02,R 02,,,,,,,parallelgreifer,parallelgreifer
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,f,06:00:00,07:00:00,60.00000000000003,5.0,1.0,2.0,3.0,6.0,,5.0,,,,R 02,Parallelgreifer ,,,R 02,R 02,,,,,,,parallelgreifer,parallelgreifer
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,f,06:00:00,07:00:00,60.00000000000003,5.0,1.0,2.0,3.0,6.0,,,,,10.0,OP 60,,DB falsche Reihenfolge 2.6,,OP 60,OP 60,,,,,db falsche reihenfolge 2.6,db falsche reihenfolge 2.6,,
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,f,07:00:00,08:00:00,59.99999999999995,5.0,,10.0,2.0,12.0,,5.0,,,,R 02,Parallelgreifer ,,,R 02,R 02,,,,,,,parallelgreifer,parallelgreifer
2023-01-10,2.0,2023-01-10 00:00:00,2023/02,f,07:00:00,08:00:00,59.99999999999995,5.0,,10.0,2.0,12.0,,5.0,,,,R 06,Zündfehler,,,R 06,R 06,,,,,,,zündfehler,zündfehler
