Datum,Wochentag,KW,DatumNEU,Jahr,Monat,Tag,Quartal,Schicht,Zeit von,Zeit bis,Dauer Arbeits-zeit,Anzahl MA,Menge N.i. O.,Menge i. O. L4,Menge i. O. L5,MengeGesamtNIO,Dauer Org-Mangel,Dauer Anlagen-Ausfall,Störung aufgrund Vormaterial,Dauer Anlagen-Ausfall intern,Dauer Logistik- Defizite,Station/ OP,Bemerkung,Anzahl/ Std.,Sollzeit/ Stück (Min),Zeit_von_min,Zeit_bis_min,Station/ OP_raw,Station/ OP_1,Station/ OP_2,Fehlercode,Bemerkung_norm,Bemerkung_std,Störfall,Anzahl Störfälle Zeitfenster
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,s,17:00:00,17:30:00,30.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1020.0,1050.0,,,,,,,N,0
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,s,18:00:00,19:00:00,60.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1080.0,1140.0,,,,,,,N,0
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,s,19:00:00,20:00:00,60.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1140.0,1200.0,,,,,,,N,0
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,s,20:00:00,21:00:00,60.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1200.0,1260.0,,,,,,,N,0
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,s,21:00:00,21:45:00,45.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,10.0,0.0,,"Aufräumen,Werkzeug wegpacken",0.0,8.5,1260.0,1305.0,,,,,"aufräumen,werkzeug wegpacken","aufräumen,werkzeug wegpacken",J,1
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,f,04:45:00,06:00:00,75.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,0.0,,Wartungsplan,0.0,8.5,285.0,360.0,,,,,wartungsplan,wartungsplan,J,1
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,f,06:00:00,07:00:00,60.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,360.0,420.0,,,,,,,N,0
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,f,07:00:00,08:00:00,60.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,420.0,480.0,,,,,,,N,0
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,f,08:00:00,09:00:00,60.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,480.0,540.0,,,,,,,N,0
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,f,09:30:00,10:00:00,30.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,570.0,600.0,,,,,,,N,0
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,f,10:00:00,11:00:00,60.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,600.0,660.0,,,,,,,N,0
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,f,11:00:00,12:00:00,60.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,660.0,720.0,,,,,,,N,0
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,f,12:00:00,13:15:00,75.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,"Anlage leer gelaufen, kein Material für produzierte Eckrungen, keine Eckrungen für verfügbare Trapez- Bleche",0.0,0.0,720.0,795.0,,,,,"anlage leer gelaufen, kein material für produzierte eckrungen, keine eckrungen für verfügbare trapez- bleche","anlage leer gelaufen, kein material für produzierte eckrungen, keine eckrungen für verfügbare trapez- bleche",J,2
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,f,12:00:00,13:15:00,75.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,45.0,0.0,,Reinigung,0.0,8.5,720.0,795.0,,,,,reinigung,reinigung,J,2
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,s,13:15:00,14:00:00,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,Anlage reinigung und Wartung,0.0,8.5,795.0,840.0,,,,,anlage reinigung und wartung,anlage reinigung und wartung,J,1
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,s,14:00:00,15:00:00,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,Anlage reinigung und Wartung,0.0,8.5,840.0,900.0,,,,,anlage reinigung und wartung,anlage reinigung und wartung,J,1
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,s,15:00:00,16:00:00,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,Anlage reinigung und Wartung,0.0,8.5,900.0,960.0,,,,,anlage reinigung und wartung,anlage reinigung und wartung,J,1
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,s,16:00:00,17:00:00,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,Anlage reinigung und Wartung,0.0,8.5,960.0,1020.0,,,,,anlage reinigung und wartung,anlage reinigung und wartung,J,1
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,s,17:00:00,17:30:00,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,Anlage reinigung und Wartung,0.0,8.5,1020.0,1050.0,,,,,anlage reinigung und wartung,anlage reinigung und wartung,J,1
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,s,18:00:00,19:00:00,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,Anlage reinigung und Wartung,0.0,8.5,1080.0,1140.0,,,,,anlage reinigung und wartung,anlage reinigung und wartung,J,1
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,s,19:00:00,20:00:00,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,Anlage reinigung und Wartung,0.0,8.5,1140.0,1200.0,,,,,anlage reinigung und wartung,anlage reinigung und wartung,J,1
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,s,20:00:00,21:00:00,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,Material beladen und Anlage voll gefahren,0.0,8.5,1200.0,1260.0,,,,,material beladen und anlage voll gefahren,material beladen und anlage voll gefahren,J,1
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,s,21:00:00,21:45:00,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,,"Aufräumen,Werkzeug wegpacken",0.0,0.0,1260.0,1305.0,,,,,"aufräumen,werkzeug wegpacken","aufräumen,werkzeug wegpacken",J,2
2024-01-09,2,2024/02,2024-01-09,2024,1,9,1,s,21:00:00,21:45:00,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,,Anlage voll fahren,0.0,8.5,1260.0,1305.0,,,,,anlage voll fahren,anlage voll fahren,J,2
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,f,04:45:00,06:00:00,75.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,15.0,0.0,,Wartungsplan,0.0,8.5,285.0,360.0,,,,,wartungsplan,wartungsplan,J,1
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,f,06:00:00,07:00:00,60.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,360.0,420.0,,,,,,,N,0
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,f,07:00:00,08:00:00,60.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,420.0,480.0,,,,,,,N,0
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,f,08:00:00,09:00:00,60.0,5.0,0.0,0.0,5.0,5.0,0.0,10.0,0.0,0.0,0.0,R 01,"Stiftzieher bleibt im Loch hängen, halterung war locker",0.0,8.5,480.0,540.0,R 01,R 01,,,"stiftzieher bleibt im loch hängen, halterung war locker","stiftzieher bleibt im loch hängen, halterung war locker",J,1
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,f,09:30:00,10:00:00,30.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,570.0,600.0,,,,,,,N,0
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,f,10:00:00,11:00:00,60.0,5.0,0.0,0.0,4.0,4.0,0.0,20.0,0.0,0.0,0.0,OP 130.2,"Querprofilspanner unten Störung, Robtech informiert",0.0,8.5,600.0,660.0,OP 130.2,OP 130.2,,,"querprofilspanner unten störung, robtech informiert","querprofilspanner unten störung, robtech informiert",J,1
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,f,11:00:00,12:00:00,60.0,5.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,660.0,720.0,,,,,,,N,0
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,f,12:00:00,13:15:00,75.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,0.0,,Reinigen,0.0,0.0,720.0,795.0,,,,,reinigen,reinigen,J,3
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,f,12:00:00,13:15:00,75.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,Anlage leer gelaufen auffüllen,0.0,0.0,720.0,795.0,,,,,anlage leer gelaufen auffüllen,"anlage leer gelaufen, auffüllen",J,3
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,f,12:00:00,13:15:00,75.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,20.0,0.0,0.0,,warten auf Eckrungen,0.0,8.5,720.0,795.0,,,,,warten auf eckrungen,warten auf eckrungen,J,3
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,13:15:00,14:00:00,45.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,0.0,,Wartungsplan,0.0,8.5,795.0,840.0,,,,,wartungsplan,wartungsplan,J,2
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,13:15:00,14:00:00,45.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,"Anlage leer gefahren,warte auf Eckrungen",0.0,0.0,795.0,840.0,,,,,"anlage leer gefahren,warte auf eckrungen","anlage leer gefahren,warte auf eckrungen",J,2
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,14:00:00,15:00:00,60.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,Robotechniker in der Anlage,0.0,0.0,840.0,900.0,,,,,robotechniker in der anlage,robotechniker in der anlage,J,3
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,14:00:00,15:00:00,60.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,OP 120.2,Störung Schlitten position,0.0,0.0,840.0,900.0,OP 120.2,OP 120.2,,,störung schlitten position,störung schlitten position,J,3
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,14:00:00,15:00:00,60.0,5.0,0.0,0.0,1.0,1.0,0.0,45.0,0.0,0.0,0.0,OP 130.2,"Spanner öffen QT unten,Signal kommt nicht an",0.0,8.5,840.0,900.0,OP 130.2,OP 130.2,,,"spanner öffen qt unten,signal kommt nicht an","spanner öffen qt unten,signal kommt nicht an",J,3
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,15:00:00,16:00:00,60.0,5.0,0.0,2.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,,Anlage voll fahren,0.0,0.0,900.0,960.0,,,,,anlage voll fahren,anlage voll fahren,J,2
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,15:00:00,16:00:00,60.0,5.0,0.0,2.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,,Robotechniker in der Anlage,0.0,8.5,900.0,960.0,,,,,robotechniker in der anlage,robotechniker in der anlage,J,2
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,16:00:00,17:00:00,60.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,OP 130.2,"Stütze lösen sich nicht,Robotechniker in der Anlage",0.0,8.5,960.0,1020.0,OP 130.2,OP 130.2,,,"stütze lösen sich nicht,robotechniker in der anlage","stütze lösen sich nicht,robotechniker in der anlage",J,1
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,17:00:00,17:30:00,30.0,5.0,0.0,2.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,OP 130.2,"Stütze lösen sich nicht,Robotechniker in der Anlage",0.0,8.5,1020.0,1050.0,OP 130.2,OP 130.2,,,"stütze lösen sich nicht,robotechniker in der anlage","stütze lösen sich nicht,robotechniker in der anlage",J,1
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,18:00:00,19:00:00,60.0,5.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1080.0,1140.0,,,,,,,N,0
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,19:00:00,20:00:00,60.0,5.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1140.0,1200.0,,,,,,,N,0
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,20:00:00,21:00:00,60.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1200.0,1260.0,,,,,,,N,0
2024-01-10,3,2024/02,2024-01-10,2024,1,10,1,s,21:00:00,21:45:00,45.0,5.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,10.0,0.0,,"Aufräumen,Werkzeug wegpacken",0.0,8.5,1260.0,1305.0,,,,,"aufräumen,werkzeug wegpacken","aufräumen,werkzeug wegpacken",J,1
2024-01-11,4,2024/02,2024-01-11,2024,1,11,1,f,04:45:00,06:00:00,75.0,5.0,0.0,0.0,5.0,5.0,0.0,6.0,0.0,0.0,0.0,OP 130,"OP dreht sich nicht im automatisch in Einlegeposition, Robtech informiert",0.0,0.0,285.0,360.0,OP 130,OP 130,,,"op dreht sich nicht im automatisch in einlegeposition, robtech informiert","op dreht sich nicht im automatisch in einlegeposition, robtech informiert",J,2
